interview__key,interview__id,land_parcels__id,i01_3,i02__0,i02__1,i02__2,i02__3,i02__4,i02__5,i02__6,i02__7,i03,i04,i05,i06,i07__1,i07__2,i07__3,i07__4,i07__5,i07__6,i07__7,i07__8,i07__9,i07__10,i07__11,i07__96,i08,i09,i10,i11,i12,i13
19-64-92-73,a0a747614bb24adbb913620f25385f75,1,Inherited,1.0,,,,,,,,Kisumu,Private,Freehold,Trust deed,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
20-72-25-92,29c2e93fa2a2467789df7505089b3dff,1,Purchased,1.0,,,,,,,,Nakuru,Community land,Freehold,Title deed,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,Relative,No,Relative,Not at all Likely,
31-69-80-51,4e40d33de0d445b58de5421592070820,1,Inherited,1.0,,,,,,,,Embu,Private,Customary,Title deed,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
09-83-20-81,3a65eda219bd4400921876fdb8ed1a1e,1,Purchased,1.0,2.0,,,,,,,Outside Kenya,Private,Freehold,Title deed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
66-67-80-34,53376719d5eb422aad3ac95c09cc5be4,1,Inherited,1.0,,,,,,,,Isiolo,Community land,Freehold,None,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Moderately Likely,Community/ other conflicts
96-20-60-75,d2099b38238949388056dd8abb451769,1,Inherited,1.0,,,,,,,,Busia,Community land,Customary,Title deed,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
70-96-04-18,1552c792e64b4789968970222c1c4552,1,Inherited,1.0,,,,,,,,Migori,Private,Freehold,Title deed,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Moderately Likely,Divorce
70-96-04-18,1552c792e64b4789968970222c1c4552,2,Inherited,1.0,,,,,,,,Migori,Private,Freehold,Title deed,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Very Likely,Divorce
77-74-17-66,d1280338ecdf48318691c788f66fb79b,1,Inherited,1.0,,,,,,,,Kiambu,Private,Freehold,Title deed,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
77-74-17-66,d1280338ecdf48318691c788f66fb79b,2,Inherited,1.0,,,,,,,,Kiambu,Private,Freehold,Title deed,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
77-74-17-66,d1280338ecdf48318691c788f66fb79b,3,Inherited,1.0,,,,,,,,Nakuru,Private,Freehold,Title deed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
78-71-20-56,5e5308afa1df4dda8fc80b0748aacce1,1,Purchased,1.0,,,,,,,,Kilifi,Private,Freehold,Sectional title,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
90-71-99-53,f7ef22ad3e1746b684600daf39a44f9e,1,Inherited,1.0,,,,,,,,Busia,Community land,Customary,Title deed,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
55-77-69-32,b154e10ff63441e4afc83bdc263c248a,1,Purchased,1.0,,,,,,,,Isiolo,Community land,Freehold,None,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Moderately Likely,Community/ other conflicts
84-94-67-20,bcc97599c92d49c1bff91ba6e5d2b8ac,1,Inherited,1.0,,,,,,,,Kilifi,Private,Freehold,Title deed,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,Co-owner(s),No,Co-owner(s),Not at all Likely,
49-27-78-09,6f6a22fdfd2e4840ac0077187153e0e9,1,Purchased,1.0,,,,,,,,Isiolo,Community land,Freehold,None,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Moderately Likely,Community/ other conflicts
64-20-81-26,24a3f8bd32534702b1383a9e55ef8abd,1,Purchased,1.0,,,,,,,,Nyandarua,Private,Freehold,Title deed,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
64-20-81-26,24a3f8bd32534702b1383a9e55ef8abd,2,Inherited,1.0,,,,,,,,Nyeri,Private,Freehold,Title deed,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
