countryiso3,date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
AFG,2026-02-15,Balkh,Nahr-e- Shahi,Balkh,3691,36.67,67.08,non-food,Wage (qualified labour),274,Day,aggregate,Retail,AFN,700.0,10.78
AFG,2026-02-15,Balkh,Nahr-e- Shahi,Balkh,3691,36.67,67.08,oil and fats,Oil (cooking),82,KG,aggregate,Retail,AFN,135.0,2.08
AFG,2026-02-15,Balkh,Nahr-e- Shahi,Balkh,3691,36.67,67.08,pulses and nuts,Pulses,163,KG,aggregate,Retail,AFN,87.0,1.34
AFG,2026-02-15,Bamyan,Bamyan,Bamyan,268,34.82,67.82,cereals and tubers,Bread,55,KG,aggregate,Retail,AFN,50.0,0.77
AFG,2026-02-15,Bamyan,Bamyan,Bamyan,268,34.82,67.82,cereals and tubers,Rice (high quality),247,KG,aggregate,Retail,AFN,157.64,2.43
AFG,2026-02-15,Bamyan,Bamyan,Bamyan,268,34.82,67.82,cereals and tubers,Rice (low quality),145,KG,aggregate,Retail,AFN,109.68,1.69
AFG,2026-02-15,Bamyan,Bamyan,Bamyan,268,34.82,67.82,cereals and tubers,Wheat,84,KG,aggregate,Retail,AFN,26.0,0.4
AFG,2026-02-15,Bamyan,Bamyan,Bamyan,268,34.82,67.82,cereals and tubers,Wheat flour (high quality),178,KG,aggregate,Retail,AFN,31.0,0.48
AFG,2026-02-15,Bamyan,Bamyan,Bamyan,268,34.82,67.82,cereals and tubers,Wheat flour (low quality),800,KG,aggregate,Retail,AFN,27.93,0.43
AFG,2026-02-15,Bamyan,Bamyan,Bamyan,268,34.82,67.82,miscellaneous food,Salt,185,KG,aggregate,Retail,AFN,20.0,0.31
AFG,2026-02-15,Bamyan,Bamyan,Bamyan,268,34.82,67.82,miscellaneous food,Sugar,97,KG,aggregate,Retail,AFN,57.5,0.89
AFG,2026-02-15,Bamyan,Bamyan,Bamyan,268,34.82,67.82,non-food,Exchange rate,305,USD/LCU,aggregate,Retail,AFN,65.54,1.01
AFG,2026-02-15,Bamyan,Bamyan,Bamyan,268,34.82,67.82,non-food,Fuel (diesel),284,L,aggregate,Retail,AFN,65.46,1.01
AFG,2026-02-15,Bamyan,Bamyan,Bamyan,268,34.82,67.82,non-food,"Wage (non-qualified labour, non-agricultural)",465,Day,aggregate,Retail,AFN,350.0,5.39
AFG,2026-02-15,Bamyan,Bamyan,Bamyan,268,34.82,67.82,non-food,Wage (qualified labour),274,Day,aggregate,Retail,AFN,700.0,10.78
AFG,2026-02-15,Bamyan,Bamyan,Bamyan,268,34.82,67.82,oil and fats,Oil (cooking),82,KG,aggregate,Retail,AFN,122.32,1.88
AFG,2026-02-15,Bamyan,Bamyan,Bamyan,268,34.82,67.82,pulses and nuts,Pulses,163,KG,aggregate,Retail,AFN,81.57,1.26
