date,price,observations,year,month,quarter,day_of_year,month_sin,month_cos,price_lag_1m,price_lag_3m,price_lag_6m,price_lag_12m,price_rolling_mean_3m,price_rolling_std_3m,price_rolling_mean_6m,price_rolling_std_6m,price_rolling_mean_12m,price_rolling_std_12m,inflation_mom,inflation_yoy,season,season_harvest_long,season_harvest_short,season_lean,season_normal
2014-01-01,58.59,4,2014,1,1,1,0.49999999999999994,0.8660254037844387,57.675000000000004,58.1375,60.5,61.05,58.33166666666667,0.5729819659767718,57.69166666666666,1.7854702928550512,59.52666666666667,2.5099640828049763,1.586475942782833,-4.029484029484019,lean,False,False,True,False
2014-02-01,55.2525,4,2014,2,1,32,0.8660254037844386,0.5000000000000001,58.59,58.730000000000004,58.86,59.32,57.17250000000001,1.7245597264233257,57.09041666666666,1.915987615217765,59.187708333333326,2.7984767484729494,-5.696364567332319,-6.8568779501011505,lean,False,False,True,False
2014-03-01,47.053333333333335,3,2014,3,1,60,1.0,6.123233995736766e-17,55.2525,57.675000000000004,54.1575,63.9,53.63194444444445,5.936608432087067,55.90638888888889,4.518507578918269,57.78381944444445,4.128974217426723,-14.839449195360688,-26.364110589462697,lean,False,False,True,False
2014-04-01,51.7,4,2014,4,2,91,0.8660254037844387,-0.4999999999999998,47.053333333333335,58.59,58.1375,62.349999999999994,51.335277777777776,4.111733239338713,54.833472222222234,4.645288007357272,56.89631944444445,4.2022038388595675,9.875318787191842,-17.080994386527653,harvest_long,True,False,False,False
2014-05-01,53.6725,4,2014,5,2,121,0.49999999999999994,-0.8660254037844387,51.7,55.2525,58.730000000000004,61.5125,50.80861111111111,3.398422053498515,53.99055555555555,4.237815005226094,56.242986111111115,4.02498383612951,3.815280464216628,-12.745376955903275,harvest_long,True,False,False,False
2014-06-01,57.082499999999996,4,2014,6,2,152,1.2246467991473532e-16,-1.0,53.6725,47.053333333333335,57.675000000000004,60.5875,54.151666666666664,2.7230547338117512,53.89180555555555,4.140576295660554,55.95090277777778,3.8020529651479977,6.353346685919226,-5.785021662884263,normal,False,False,False,True
2014-07-01,56.175,4,2014,7,3,182,-0.4999999999999997,-0.8660254037844388,57.082499999999996,51.7,58.59,60.5,55.64333333333334,1.766076748993246,53.48930555555555,3.684827502998301,55.59048611111111,3.5266363860321084,-1.5898042307186948,-7.148760330578517,normal,False,False,False,True
2014-08-01,57.845,4,2014,8,3,213,-0.8660254037844385,-0.5000000000000004,56.175,53.6725,55.2525,58.86,57.034166666666664,0.8360484934108342,53.92138888888889,4.065287493819877,55.505902777777784,3.452483505514728,2.972852692478864,-1.7244308528712209,normal,False,False,False,True
2014-09-01,54.4125,4,2014,9,3,244,-1.0,-1.8369701987210297e-16,57.845,57.082499999999996,47.053333333333335,54.1575,56.14416666666667,1.716457713820685,55.14791666666667,2.3098741397893736,55.52715277777778,3.444204443669199,-5.9339614486991055,0.4708489128929559,normal,False,False,False,True
2014-10-01,56.05,4,2014,10,4,274,-0.8660254037844386,0.5000000000000001,54.4125,56.175,51.7,58.1375,56.1025,1.7168521339944218,55.87291666666667,1.577939650831992,55.35319444444445,3.351855731925851,3.009418791637943,-3.590625671898526,harvest_short,False,True,False,False
2014-11-01,54.675,4,2014,11,4,305,-0.5000000000000004,0.8660254037844384,56.05,57.845,53.6725,58.730000000000004,55.04583333333333,0.879482565679706,56.04,1.3323015799739724,55.015277777777776,3.180497176474671,-2.4531668153434434,-6.904478120211147,harvest_short,False,True,False,False
2014-12-01,54.45,4,2014,12,4,335,-2.4492935982947064e-16,1.0,54.675,54.4125,57.082499999999996,57.675000000000004,55.05833333333334,0.8661456767395184,55.60125,1.353618991814572,54.74652777777778,3.0696443842282357,-0.4115226337448456,-5.591677503250978,normal,False,False,False,True
2015-01-01,49.21111111111111,9,2015,1,1,1,0.49999999999999994,0.8660254037844387,54.45,56.05,56.175,58.59,52.778703703703705,3.0916733220122814,54.44060185185185,2.8838683426604863,53.964953703703706,3.19357516462639,-9.621467197224783,-16.007661527374797,lean,False,False,True,False
2015-02-01,49.53333333333333,9,2015,2,1,32,0.8660254037844386,0.5000000000000001,49.21111111111111,54.675,57.845,55.2525,51.06481481481482,2.9360800131506566,53.05532407407407,2.917563144855474,53.48835648148148,3.403793209568073,0.6547753443215186,-10.350964511409739,lean,False,False,True,False
2015-03-01,47.84444444444445,9,2015,3,1,60,1.0,6.123233995736766e-17,49.53333333333333,54.45,54.4125,47.053333333333335,48.86296296296297,0.896655881343967,51.96064814814815,3.483742850580672,53.554282407407406,3.2729741240070624,-3.4096007178106653,1.6813072636252067,lean,False,False,True,False
2015-04-01,49.266666666666666,9,2015,4,2,91,0.8660254037844387,-0.4999999999999998,47.84444444444445,49.21111111111111,56.05,51.7,48.88148148148148,0.9079439079145233,50.83009259259259,2.9512073364640115,53.35150462962963,3.4678761557592477,2.9725963771481547,-4.706640876853649,harvest_long,True,False,False,False
2015-05-01,49.2,9,2015,5,2,121,0.49999999999999994,-0.8660254037844387,49.266666666666666,49.53333333333333,54.675,53.6725,48.77037037037038,0.8025678951583207,49.91759259259259,2.298959551748724,52.9787962962963,3.6649795979802016,-0.13531799729363236,-8.332945176766495,harvest_long,True,False,False,False
2015-06-01,48.8,9,2015,6,2,152,1.2246467991473532e-16,-1.0,49.2,47.84444444444445,54.45,57.082499999999996,49.08888888888888,0.2523959264827952,48.97592592592593,0.6019891581270491,52.28858796296296,3.601238850817826,-0.8130081300813123,-14.509700871545569,normal,False,False,False,True
